2019/7/16	Contact - List - Half-1-2 - Shanghai Greenland Shenhua-Henan Jianye		16	7	2019														
																			
Players	Time (period - mm:ss't)	Player2	Ball touch	Neutral touch	Simultaneous event	With what	Spin	Following event 	Loss and won	Loss-Gain distance	Distance	Duration	Speed	Distance to goal	Distance to referee	Angle	Direction	Zone	End zone
Bassogog C. (10)	1 - 29:47'6	Bassogog C. (10)	Reception	-	-	-	-	Running with ball	-	0.5	0.5	00:01'0	1.8	30.5	27.2	10.98	-	A 1	A 1
Bassogog C. (10)	1 - 29:48'6	Bassogog C. (10)	Running with ball	-	-	-	-	Cross	-	0.9	0.9	00:00'8	4.1	30.4	28.5	10.05	-	A 1	A 1
Bassogog C. (10)	1 - 29:49'4	Karanga (37)	Cross	-	-	Left foot	-	Pass	-	31	31	00:01'7	65.6	29.4	28.4	9.97	-	A 1	A 3
Karanga (37)	1 - 29:51'1	Jiang S. (04)	Pass	-	Air duel	Header	-	Pass	Indiv. loss of poss.	3.1	3.1	00:02'1	5.4	7.8	14	-75.96	-	A 3	A 3
Jiang S. (04)	1 - 29:53'2	Yunqiu (16)	Pass	-	-	-	-	Clearance	Indiv. gain of poss.	2.4	2.4	00:01'0	8.7	94.7	11.7	72.4	-	A 3	A 3
Yunqiu (16)	1 - 29:54'2	-	Clearance	-	-	-	-	Out for throw-in	Indiv. loss of poss.	36.4	36.4	00:03'1	42.2	97	14.5	63.72	-	A 3	A 4
Zhou D. (08)	1 - 30:03'9	Lu Y. (27)	Pass	-	Throw-in	Two hands	-	Reception	-	21.4	21.4	00:01'7	45.3	42.6	26.7	-22.05	-	A 4	B 4
Lu Y. (27)	1 - 30:05'6	Lu Y. (27)	Reception	-	-	-	-	Running with ball	-	2.5	2.5	00:01'4	6.4	42.7	15.7	-51.09	-	B 4	B 4
Lu Y. (27)	1 - 30:07'0	Lu Y. (27)	Running with ball	-	-	-	-	Pass	-	1.3	1.3	00:00'4	11.7	40.5	13.3	-52.82	-	B 4	B 4
Lu Y. (27)	1 - 30:07'4	Shangyuan (26)	Pass	-	-	-	-	Pass	-	23.5	23.5	00:02'2	38.5	39.8	12.8	-54.31	-	B 4	B 3
Shangyuan (26)	1 - 30:09'6	Bassogog C. (10)	Pass	-	-	-	-	Reception	-	19.4	19.4	00:01'5	46.5	24.5	13	-87.66	-	B 3	B 2
Bassogog C. (10)	1 - 30:11'1	Bassogog C. (10)	Reception	-	-	-	-	Cross	-	0.5	0.5	00:00'8	2.4	26.3	27.4	47.62	-	B 2	B 2
Bassogog C. (10)	1 - 30:11'9	-	Cross	-	-	Left foot	-	Out for goal kick	Indiv. loss of poss.	36.4	36.4	00:05'2	25.2	26.8	24.9	48.03	-	B 2	A 3
Shuai (27)	1 - 30:56'9	Han Xuan (04)	Pass	Gaining(04.Han)	Goal kick	-	-	Neutral contact	-	78.2	65.1	00:03'7	63.4	99.5	49.2	42.14	-	A 3	E 3
Han Xuan (04)	1 - 31:00'6	Qian J. (26)	Neutral contact	-	Air duel	Header	-	Pass	-	13	13	00:01'6	29.3	71.9	13.7	-65.37	-	E 3	D 3
Qian J. (26)	1 - 31:02'2	Shin Wook (20)	Pass	-	Ground duel	Chest	-	Reception	-	13.5	13.5	00:01'6	30.3	39.4	6.7	84.61	-	D 3	E 3
Shin Wook (20)	1 - 31:03'8	Shin Wook (20)	Reception	-	-	-	-	Pass	-	3.7	3.7	00:00'7	19.1	30.2	16.8	68.2	-	E 3	E 3
Shin Wook (20)	1 - 31:04'5	Chen (25)	Pass	Gaining(25.Che)	-	-	-	Neutral contact	Indiv. loss of poss.	12.5	4.6	00:00'2	83	28.1	15.1	74.33	-	E 3	E 3
Chen (25)	1 - 31:04'7	Shangyuan (26)	Neutral contact	-	-	Chest	-	Reception	Gaining neutral touch	7.9	7.9	00:02'4	11.9	78.3	14.6	-83.61	-	E 3	E 3
Shangyuan (26)	1 - 31:07'1	Shangyuan (26)	Reception	-	-	-	-	Running with ball	Coll. gain of poss.	1.4	1.4	00:01'1	4.6	80.7	15.1	-66.83	-	E 3	E 3
Shangyuan (26)	1 - 31:08'2	Shangyuan (26)	Running with ball	-	-	-	-	Running with ball	-	1.2	1.2	00:01'0	4.4	81	17.2	-64.08	-	E 3	E 3
Shangyuan (26)	1 - 31:09'2	Shangyuan (26)	Running with ball	-	-	-	-	Running with ball	-	2.1	2.1	00:00'9	8.4	81.4	19.5	-61.7	-	E 3	E 3
Shangyuan (26)	1 - 31:10'1	Shangyuan (26)	Running with ball	-	-	-	-	Running with ball	-	6.6	6.6	00:01'4	17	79.3	19.5	-63.43	-	E 3	E 3
Shangyuan (26)	1 - 31:11'5	Shangyuan (26)	Running with ball	-	-	-	-	Running with ball	-	4.6	4.6	00:00'9	18.4	73	17.4	-72.09	-	E 3	D 3
Shangyuan (26)	1 - 31:12'4	Shangyuan (26)	Running with ball	-	-	-	-	Pass	-	3	3	00:00'7	15.3	69.1	16.9	-78.17	-	D 3	D 3
Shangyuan (26)	1 - 31:13'1	Bassogog C. (10)	Pass	-	-	-	-	Reception	-	45.3	45.3	00:02'9	56.3	66.8	17.1	-81.85	-	D 3	C 1
Bassogog C. (10)	1 - 31:16'0	Bassogog C. (10)	Reception	-	-	-	-	Running with ball	-	3.4	3.4	00:01'2	10.3	44.3	27.7	52.33	-	C 1	B 1
Bassogog C. (10)	1 - 31:17'2	Bassogog C. (10)	Running with ball	-	-	-	-	Running with ball	-	0.2	0.2	00:00'6	1.2	45.2	26.9	48.05	-	B 1	B 1
Bassogog C. (10)	1 - 31:17'8	Bassogog C. (10)	Running with ball	-	-	-	-	Pass	-	0.2	0.2	00:00'2	3.6	45.3	25.2	47.86	-	B 1	B 1
Bassogog C. (10)	1 - 31:18'0	Du C. (07)	Pass	-	-	-	-	Reception	-	15.6	15.6	00:01'9	29.6	45.2	24.2	48.05	-	B 1	B 1
Du C. (07)	1 - 31:19'9	Du C. (07)	Reception	-	-	-	-	Cross	-	5.7	5.7	00:01'0	20.6	35	24.3	30.96	-	B 1	A 1
Du C. (07)	1 - 31:20'9	Shuai (27)	Cross	-	-	-	-	High catch gk	Indiv. loss of poss.	32.4	32.4	00:01'8	64.8	32.8	25.5	22.03	-	A 1	A 3
Shuai (27)	1 - 31:22'7	Shuai (27)	High catch gk	-	-	Two hands	-	Foot clearance gk	Indiv. gain of poss.	11.4	11.4	00:03'0	13.7	101	21.7	77.32	-	A 3	A 3
Shuai (27)	1 - 31:25'7	-	Foot clearance gk	-	-	-	-	Foul - penalty	-	75.3	75.3	00:04'8	56.5	91.3	18.9	64.6	-	A 3	F 3
Moreno (10)	1 - 35:15'5	Yan Wu (17)	Shot on target	Gaining(17.Yan)	Penalty	Left foot	-	High deflection gk	-	16.2	10.1	00:00'5	72.6	11.3	16.6	87.47	In-Low (Left)	F 3	F 3
Yan Wu (17)	1 - 35:16'0	Moreno (10)	High deflection gk	-	-	Two hands	-	Shot on target	-	6.2	6.2	00:01'2	18.5	103.7	22.1	-35.84	-	F 3	F 3
Moreno (10)	1 - 35:17'2	-	Shot on target	-	-	Right foot	-	Goal	Indiv. loss of poss.	8.3	8.3	00:00'4	74.9	8	18.4	66.33	In-Low (Middle)	F 3	F 2
Karanga (37)	1 - 36:14'8	Zhou D. (08)	Pass	-	Kick-off	-	-	Reception	-	8.7	8.7	00:01'0	31.4	52	9.5	-89.89	-	C 3	D 3
Zhou D. (08)	1 - 36:15'8	Zhou D. (08)	Reception	-	-	-	-	Running with ball	-	4.4	4.4	00:01'5	10.6	60.6	13.8	-88.07	-	D 3	D 2
Zhou D. (08)	1 - 36:17'3	Zhou D. (08)	Running with ball	-	-	-	-	Pass	-	2.5	2.5	00:00'7	12.7	59.4	17.4	86.62	-	D 2	D 2
Zhou D. (08)	1 - 36:18'0	Bassogog C. (10)	Pass	-	-	-	-	Reception	-	23.8	23.8	00:01'7	50.3	58.2	18	84.17	-	D 2	D 1
Bassogog C. (10)	1 - 36:19'7	Bassogog C. (10)	Reception	-	-	-	-	Running with ball	-	1.6	1.6	00:01'0	5.6	60.3	31.6	61.48	-	D 1	C 1
Bassogog C. (10)	1 - 36:20'7	Bassogog C. (10)	Running with ball	-	-	-	-	Pass	-	0.1	0.1	00:00'3	1.7	59.7	29.8	60.81	-	C 1	C 1
Bassogog C. (10)	1 - 36:21'0	Du C. (07)	Pass	-	-	-	-	Reception	-	14.9	14.9	00:01'5	35.7	59.6	29.2	60.68	-	C 1	D 1
Du C. (07)	1 - 36:22'5	Du C. (07)	Reception	-	-	-	-	Pass	-	1.1	1.1	00:00'9	4.3	71.4	33.9	56.07	-	D 1	D 1
Du C. (07)	1 - 36:23'4	Chen (25)	Pass	-	-	-	-	Reception	-	20.6	20.6	00:01'9	39.1	71.9	33.6	56.24	-	D 1	E 2
Chen (25)	1 - 36:25'3	Chen (25)	Reception	-	-	-	-	Pass	-	1	1	00:00'8	4.5	73	30.6	80.65	-	E 2	E 2
Chen (25)	1 - 36:26'1	Lu Y. (27)	Pass	-	-	-	-	Reception	-	35.3	35.3	00:03'5	36.3	72.8	30.4	82.42	-	E 2	D 4
Lu Y. (27)	1 - 36:29'6	Lu Y. (27)	Reception	-	-	-	-	Pass	-	0.4	0.4	00:00'6	2.2	63.8	26	-59.84	-	D 4	D 4
Lu Y. (27)	1 - 36:30'2	Zhou D. (08)	Pass	-	-	-	-	Reception	-	12.8	12.8	00:01'6	28.8	63.4	24.9	-60.18	-	D 4	D 3
Zhou D. (08)	1 - 36:31'8	Zhou D. (08)	Reception	-	-	-	-	Pass	-	3.3	3.3	00:01'7	7	55.4	14.5	-73.62	-	D 3	D 3
Zhou D. (08)	1 - 36:33'5	Bassogog C. (10)	Pass	-	-	-	-	Pass	-	53.2	53.2	00:03'3	58	54.6	16.3	-77.04	-	D 3	B 1
Bassogog C. (10)	1 - 36:36'8	Du C. (07)	Pass	-	-	Header	-	Reception	-	11.4	11.4	00:01'8	22.9	38	30.3	35.24	-	B 1	B 1
Du C. (07)	1 - 36:38'6	Du C. (07)	Reception	-	-	-	-	Running with ball	-	0.4	0.4	00:00'5	3.2	43.4	21	49.48	-	B 1	B 1
Du C. (07)	1 - 36:39'1	Qian J. (26)	Running with ball	Gaining(26.Qia)	-	-	-	Neutral contact	-	11.5	1.4	00:00'2	24.5	43	20	49.34	-	B 1	B 1
Qian J. (26)	1 - 36:39'3	-	Neutral contact	-	Tackle	-	-	Out for throw-in	-	10.2	10.2	00:02'6	14.1	77.5	18.6	-50.33	-	B 1	C 1
Du C. (07)	1 - 36:47'8	Karanga (37)	Pass	-	Throw-in	Two hands	-	Reception	-	18.9	18.9	00:01'3	52.2	51.7	25	47.58	-	C 1	B 1
Karanga (37)	1 - 36:49'1	Qian J. (26)	Reception	-	Ground duel	-	-	Reception	Indiv. loss of poss.	5.2	5.2	00:02'0	9.4	33.5	17.7	40.77	-	B 1	B 1
Qian J. (26)	1 - 36:51'1	Zhou D. (08)	Reception	-	Tackle	-	-	Reception	Indiv. loss of poss. - Indiv. gain of poss.	13.2	13.2	00:01'9	25.1	83.2	12.2	-49.53	-	B 1	C 2
Zhou D. (08)	1 - 36:53'0	Zhou D. (08)	Reception	-	Tackle	-	-	Pass	Indiv. gain of poss.	5.4	5.4	00:01'9	10.3	39.4	7.8	67.47	-	C 2	C 2
Zhou D. (08)	1 - 36:54'9	Du C. (07)	Pass	-	-	-	-	Pass	-	8.7	8.7	00:00'9	34.9	44.4	14	64.53	-	C 2	C 1
Du C. (07)	1 - 36:55'8	Chen (25)	Pass	-	-	-	-	Pass	-	17.3	17.3	00:02'3	27.1	52.1	23.1	59.55	-	C 1	D 2
Chen (25)	1 - 36:58'1	Zhou D. (08)	Pass	-	-	-	-	Reception	-	6.9	6.9	00:00'9	27.4	59.8	27.1	72.33	-	D 2	D 2
Zhou D. (08)	1 - 36:59'0	Zhou D. (08)	Reception	-	-	-	-	Pass	-	2.2	2.2	00:01'6	4.8	56.8	26.9	68.89	-	D 2	C 1
Zhou D. (08)	1 - 37:00'6	Lu Y. (27)	Pass	-	-	-	-	Reception	-	49.9	49.9	00:03'0	59.8	55.3	28.2	67.89	-	C 1	C 4
Lu Y. (27)	1 - 37:03'6	Lu Y. (27)	Reception	-	-	-	-	Running with ball	-	0.7	0.7	00:01'1	2.4	48.7	23.1	-55.2	-	C 4	C 4
Lu Y. (27)	1 - 37:04'7	Lu Y. (27)	Running with ball	-	-	-	-	Running with ball	-	0.6	0.6	00:01'0	2.3	49.4	22.1	-55.22	-	C 4	C 4
Lu Y. (27)	1 - 37:05'7	Lu Y. (27)	Running with ball	-	-	-	-	Running with ball	-	0.4	0.4	00:00'4	3.8	48.8	20.4	-55.27	-	C 4	C 4
Lu Y. (27)	1 - 37:06'1	Lu Y. (27)	Running with ball	-	-	-	-	Pass	-	0.4	0.4	00:01'7	0.8	48.4	19.7	-55.36	-	C 4	C 4
Lu Y. (27)	1 - 37:07'8	Shangyuan (26)	Pass	-	-	-	-	Pass	-	19.7	19.7	00:02'9	24.5	48	19	-55.09	-	C 4	D 4
Shangyuan (26)	1 - 37:10'7	Chen (25)	Pass	-	-	-	-	Reception	-	29.3	29.3	00:02'9	36.3	63	25.7	-63.53	-	D 4	D 2
Chen (25)	1 - 37:13'6	Chen (25)	Reception	-	-	-	-	Pass	-	1.3	1.3	00:00'7	6.6	63.6	26.3	82.08	-	D 2	D 2
Chen (25)	1 - 37:14'3	Zhou D. (08)	Pass	-	-	-	-	Reception	-	11.6	11.6	00:01'0	41.7	62.6	25.2	81.21	-	D 2	D 3
Zhou D. (08)	1 - 37:15'3	Zhou D. (08)	Reception	-	-	-	-	Pass	-	1.2	1.2	00:00'6	7.3	53.3	14.6	-89.22	-	D 3	C 3
Zhou D. (08)	1 - 37:15'9	Chen (25)	Pass	-	-	-	-	Reception	-	12	12	00:02'1	20.6	52.3	14.1	90	-	C 3	D 2
Chen (25)	1 - 37:18'0	Chen (25)	Reception	-	-	-	-	Pass	-	5.7	5.7	00:01'8	11.4	57.7	24.8	76.97	-	D 2	C 2
Chen (25)	1 - 37:19'8	Du C. (07)	Pass	-	-	-	-	Reception	-	17.3	17.3	00:01'7	36.6	54.1	23.6	74.24	-	C 2	C 1
Du C. (07)	1 - 37:21'5	Du C. (07)	Reception	-	-	-	-	Running with ball	-	0.4	0.4	00:00'7	2.1	59.5	34.9	57.57	-	C 1	C 1
Du C. (07)	1 - 37:22'2	-	Running with ball	-	-	-	-	Out for throw-in	Indiv. loss of poss.	11.4	11.4	00:01'5	27.3	59.8	34.1	57.77	-	C 1	C 1
Jiajun (23)	1 - 37:47'7	Shin Wook (20)	Pass	-	Throw-in	Two hands	-	Reception	-	5.8	5.8	00:00'9	23.1	74.1	20.1	-48.69	-	C 1	C 1
Shin Wook (20)	1 - 37:48'6	Bassogog C. (10)	Reception	-	-	Chest	-	Pass	Indiv. loss of poss.	0.7	0.7	00:00'6	4	68.3	15.3	-54.32	-	C 1	C 1
Bassogog C. (10)	1 - 37:49'2	Zhou D. (08)	Pass	-	Tackle	-	-	Pass	Indiv. gain of poss.	4.6	4.6	00:01'4	11.9	54.4	16.1	54.21	-	C 1	C 1
Zhou D. (08)	1 - 37:50'6	Bassogog C. (10)	Pass	-	-	Header	-	Reception	-	4.6	4.6	00:00'4	41.6	57	13.6	58.12	-	C 1	C 1
Bassogog C. (10)	1 - 37:51'0	Bassogog C. (10)	Reception	-	-	-	-	Pass	-	1.4	1.4	00:00'8	6.3	54.1	17	54.4	-	C 1	C 1
Bassogog C. (10)	1 - 37:51'8	Zhu C. (05)	Pass	-	Tackle	-	-	Pass	Indiv. loss of poss.	8.9	8.9	00:00'8	40.1	53	16.4	55.23	-	C 1	C 1
Zhu C. (05)	1 - 37:52'6	Bassogog C. (10)	Pass	-	Ground duel	-	-	Reception	Indiv. loss of poss. - Indiv. gain of poss.	6.5	6.5	00:01'6	14.7	74.1	18.6	-53.75	-	C 1	C 1
Bassogog C. (10)	1 - 37:54'2	Bassogog C. (10)	Reception	-	-	-	-	Running with ball	Indiv. gain of poss.	2.1	2.1	00:01'2	6.2	49.9	20.4	49.96	-	C 1	C 1
Bassogog C. (10)	1 - 37:55'4	Jiajun (23)	Running with ball	Gaining(23.Jia)	-	-	-	Neutral contact	-	4.3	1.7	00:00'6	10.5	49.2	21.6	47.72	-	C 1	B 1
Jiajun (23)	1 - 37:56'0	-	Neutral contact	-	Tackle	-	-	Out for throw-in	-	2.6	2.6	00:00'6	15.4	77.5	21.1	-46.7	-	B 1	C 1
Du C. (07)	1 - 38:03'3	Chen (25)	Pass	-	Throw-in	Two hands	-	Reception	-	22	22	00:02'1	37.7	49.9	20.9	45.08	-	C 1	D 1
Chen (25)	1 - 38:05'4	Chen (25)	Reception	-	-	-	-	Pass	-	1.6	1.6	00:01'4	4.1	61	26.3	62.52	-	D 1	D 1
Chen (25)	1 - 38:06'8	Zhong (30)	Pass	-	-	-	-	Reception	-	20.4	20.4	00:01'4	52.5	61.8	27.7	62.73	-	D 1	C 2
Zhong (30)	1 - 38:08'2	Zhong (30)	Reception	-	-	-	-	Running with ball	-	2.1	2.1	00:01'5	5	46.9	10.6	81.04	-	C 2	C 2
Zhong (30)	1 - 38:09'7	Zhong (30)	Running with ball	-	-	-	-	Pass	-	2.2	2.2	00:00'8	9.9	48.6	11.8	82.44	-	C 2	C 2
Zhong (30)	1 - 38:10'5	Shangyuan (26)	Pass	-	-	-	-	Reception	-	19	19	00:01'7	40.3	50.8	13.4	82.54	-	C 2	D 2
Shangyuan (26)	1 - 38:12'2	Shangyuan (26)	Reception	-	-	-	-	Running with ball	-	3	3	00:01'6	6.8	68.6	28.8	88.27	-	D 2	D 3
Shangyuan (26)	1 - 38:13'8	Shangyuan (26)	Running with ball	-	-	-	-	Pass	-	1.9	1.9	00:01'1	6.2	68.6	28.3	-87.01	-	D 3	D 3
Shangyuan (26)	1 - 38:14'9	Chen (25)	Pass	-	-	-	-	Reception	-	27.7	27.7	00:01'7	58.7	67.6	27.7	-89.54	-	D 3	D 1
Chen (25)	1 - 38:16'6	Chen (25)	Reception	-	-	-	-	Running with ball	-	3.9	3.9	00:01'2	11.7	67.3	34.5	58.25	-	D 1	D 1
Chen (25)	1 - 38:17'8	Chen (25)	Running with ball	-	-	-	-	Pass	-	2.1	2.1	00:00'8	9.5	65	30.7	58.43	-	D 1	D 1
Chen (25)	1 - 38:18'6	Jinhao (03)	Pass	-	-	-	-	Reception	Indiv. loss of poss.	42.8	42.8	00:02'8	55	63.2	27.5	59.37	-	D 1	B 2
Jinhao (03)	1 - 38:21'4	Jinhao (03)	Reception	-	-	Chest	-	Pass	Indiv. gain of poss.	6.1	6.1	00:01'6	13.7	83.6	17.3	-79.72	-	B 2	B 3
Jinhao (03)	1 - 38:23'0	Yunqiu (16)	Pass	-	-	-	-	Reception	-	25.7	25.7	00:03'8	24.3	86.5	21.7	85.67	-	B 3	B 4
Yunqiu (16)	1 - 38:26'8	Yunqiu (16)	Reception	-	-	-	-	Pass	-	0.8	0.8	00:00'5	5.6	83.7	32.8	44.33	-	B 4	B 4
Yunqiu (16)	1 - 38:27'3	Jinhao (03)	Pass	-	-	-	-	Reception	-	11.7	11.7	00:01'5	28.1	83.4	33	44.24	-	B 4	B 3
Jinhao (03)	1 - 38:28'8	Jinhao (03)	Reception	-	-	-	-	Pass	-	0.2	0.2	00:00'8	1	85.3	31.3	52.96	-	B 3	B 3
Jinhao (03)	1 - 38:29'6	Zhu C. (05)	Pass	-	-	-	-	Pass	-	24.8	24.8	00:02'9	30.8	85.1	31.9	53.04	-	B 3	B 2
Zhu C. (05)	1 - 38:32'5	Jiajun (23)	Pass	-	-	-	-	Reception	-	21.9	21.9	00:02'0	39.4	85.2	34.8	-66.7	-	B 2	B 1
Jiajun (23)	1 - 38:34'5	Jiajun (23)	Reception	-	-	-	-	Running with ball	-	0.8	0.8	00:00'5	5.9	86.3	37.6	-38.71	-	B 1	B 1
Jiajun (23)	1 - 38:35'0	Bassogog C. (10)	Running with ball	-	Dribble attempt	-	-	Reception	Indiv. loss of poss.	0.9	0.9	00:00'4	8	86.4	35.9	-38.21	-	B 1	B 1
Bassogog C. (10)	1 - 38:35'4	Bassogog C. (10)	Reception	-	Tackle	-	-	Running with ball	Indiv. gain of poss.	4.5	4.5	00:02'8	5.8	40.3	33.9	38.75	-	B 1	B 1
Bassogog C. (10)	1 - 38:38'2	-	Running with ball	-	-	-	-	Foul - dir. free-kick	-	1.3	1.3	00:00'4	11.3	44.3	23.3	41.61	-	B 1	B 1
Ivo (29)	1 - 39:05'2	Qian J. (26)	Cross	-	Direct free-kick	Left foot	Straight	Clearance	Indiv. loss of poss.	27.1	27.1	00:01'2	81.2	42.6	41.9	41.77	-	B 1	A 2
Qian J. (26)	1 - 39:06'4	Yunding C. (28)	Clearance	-	-	Header	-	Clearance	Indiv. gain of poss.	19	19	00:01'6	42.7	92.6	19.9	-53.34	-	A 2	B 1
Yunding C. (28)	1 - 39:08'0	-	Clearance	-	-	Header	-	Out for throw-in	Indiv. loss of poss.	14.6	14.6	00:01'6	32.8	85.6	32.9	-42.42	-	B 1	B 1
Ivo (29)	1 - 39:11'4	Zhou D. (08)	Pass	-	Throw-in	Two hands	-	Reception	-	16.1	16.1	00:01'6	36.1	48.9	34.5	45.5	-	B 1	C 2
Zhou D. (08)	1 - 39:13'0	Zhou D. (08)	Reception	-	-	-	-	Running with ball	-	2.9	2.9	00:01'5	7	46.3	20.4	64.65	-	C 2	C 2
Zhou D. (08)	1 - 39:14'5	Zhou D. (08)	Running with ball	-	-	-	-	Pass	-	0.4	0.4	00:00'7	2.1	49	23	65.89	-	C 2	C 1
Zhou D. (08)	1 - 39:15'2	Ivo (29)	Pass	-	-	-	-	Reception	-	9.4	9.4	00:01'2	28.1	49	24.3	65.42	-	C 1	C 1
Ivo (29)	1 - 39:16'4	Ivo (29)	Reception	-	-	-	-	Cross	-	1.1	1.1	00:00'9	4.6	49.9	31.9	54.62	-	C 1	C 1
Ivo (29)	1 - 39:17'3	-	Cross	-	-	Left foot	-	Foul - dir. free-kick	Indiv. loss of poss.	35.5	35.5	00:02'5	51.1	49.5	30.4	55.86	-	C 1	A 2
Shuai (27)	1 - 39:48'5	Shin Wook (20)	Pass	-	Direct free-kick	-	Straight	Pass	-	56.4	56.4	00:03'7	54.9	89.8	45.8	-55.89	-	A 2	E 2
Shin Wook (20)	1 - 39:52'2	Yunding C. (28)	Pass	-	-	Header	-	Reception	-	23	23	00:02'8	29.6	35.1	12.9	-69.14	-	E 2	E 1
Yunding C. (28)	1 - 39:55'0	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	0.5	0.5	00:00'6	3.1	36.3	30.1	-31.59	-	E 1	E 1
Yunding C. (28)	1 - 39:55'6	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	1.5	1.5	00:00'7	7.6	35.9	28.4	-30.99	-	E 1	E 1
Yunding C. (28)	1 - 39:56'3	Yunding C. (28)	Running with ball	-	-	-	-	Pass	-	4.6	4.6	00:00'9	18.4	35.7	25.2	-33.33	-	E 1	E 1
Yunding C. (28)	1 - 39:57'2	Bassogog C. (10)	Pass	Gaining(10.Bas)	-	-	-	Neutral contact	Indiv. loss of poss.	12.4	2.9	00:00'1	-	35.4	20.1	-40.76	-	E 1	E 1
Bassogog C. (10)	1 - 39:57'3	Zhou D. (08)	Neutral contact	-	-	-	-	Reception	Gaining neutral touch	9.5	9.5	00:02'1	16.3	83.5	17.7	45.46	-	E 1	E 2
Zhou D. (08)	1 - 39:59'4	Karanga (37)	Reception	Losing(37.Kar)	-	-	-	Neutral contact	Coll. loss of poss. - Coll. gain of poss.	27.3	20.1	00:01'2	60.4	83.1	12.5	56.31	-	E 2	D 2
Karanga (37)	1 - 40:00'6	Yunding C. (28)	Neutral contact	-	Ground duel	-	-	Reception	Losing neutral touch	7.1	7.1	00:01'3	19.8	63	11.4	73.08	-	D 2	D 2
Yunding C. (28)	1 - 40:01'9	Yunding C. (28)	Reception	-	-	-	-	Running with ball	Indiv. gain of poss.	0.1	0.1	00:00'7	0.5	38.9	10.3	-68.91	-	D 2	D 2
Yunding C. (28)	1 - 40:02'6	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	2	2	00:00'7	10.3	38.9	10.8	-69.05	-	D 2	D 2
Yunding C. (28)	1 - 40:03'3	Yunding C. (28)	Running with ball	-	-	-	-	Pass	-	4.2	4.2	00:01'1	13.7	39.4	12.7	-66.23	-	D 2	D 2
Yunding C. (28)	1 - 40:04'4	Jiajun (23)	Pass	-	-	-	-	Reception	-	12	12	00:01'3	33.1	42.3	16.1	-61.92	-	D 2	D 1
Jiajun (23)	1 - 40:05'7	Jiajun (23)	Reception	-	-	-	-	Pass	-	0.9	0.9	00:00'7	4.4	54.2	23.4	-61.36	-	D 1	D 1
Jiajun (23)	1 - 40:06'4	Zhu C. (05)	Pass	-	-	-	-	Reception	-	14.4	14.4	00:00'9	57.6	55.1	23.3	-61.48	-	D 1	C 2
Zhu C. (05)	1 - 40:07'3	Zhu C. (05)	Reception	-	-	-	-	Pass	-	4.8	4.8	00:01'3	13.3	59.8	22.1	-71.93	-	C 2	C 2
Zhu C. (05)	1 - 40:08'6	Yunqiu (16)	Pass	-	-	-	-	Reception	-	23.6	23.6	00:01'2	70.7	59.8	21	-76.96	-	C 2	C 3
Yunqiu (16)	1 - 40:09'8	Yunqiu (16)	Reception	-	-	-	-	Running with ball	-	1.3	1.3	00:01'4	3.3	58.5	24.6	75.04	-	C 3	C 3
Yunqiu (16)	1 - 40:11'2	Yunqiu (16)	Running with ball	-	-	-	-	Pass	-	1.6	1.6	00:01'2	4.8	58.3	24	73.87	-	C 3	C 3
Yunqiu (16)	1 - 40:12'4	Chen (25)	Pass	Gaining(25.Che)	-	-	-	Neutral contact	-	54.7	39.7	00:02'5	57.1	56.8	22.8	74.15	-	C 3	E 2
Chen (25)	1 - 40:14'9	Qian J. (26)	Neutral contact	-	Air duel	Header	-	Pass	-	15	15	00:02'4	22.5	85.9	12.7	81.95	-	E 2	E 2
Qian J. (26)	1 - 40:17'3	Yunding C. (28)	Pass	-	-	Header	-	Reception	-	13.3	13.3	00:01'7	28.2	26.6	17.8	-48.35	-	E 2	F 1
Yunding C. (28)	1 - 40:19'0	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	0.5	0.5	00:00'6	3.1	32	26.5	-24.33	-	F 1	F 1
Yunding C. (28)	1 - 40:19'6	Yunding C. (28)	Running with ball	-	-	-	-	Cross	-	6	6	00:01'4	15.4	31.8	25.3	-23.58	-	F 1	F 1
Yunding C. (28)	1 - 40:21'0	Shangyuan (26)	Cross	-	-	Left foot	-	Clearance	Indiv. loss of poss.	23.8	23.8	00:01'0	85.7	27.7	23.4	-15.09	-	F 1	F 2
Shangyuan (26)	1 - 40:22'0	-	Clearance	-	-	-	-	Out for throw-in	Indiv. loss of poss. - Indiv. gain of poss.	34.2	34.2	00:03'3	37.3	98	13	67.5	-	F 2	E 1
Jiajun (23)	1 - 40:40'9	Moreno (10)	Pass	-	Throw-in	Two hands	-	Pass	-	14.6	14.6	00:01'4	37.5	39.8	21.4	-28.69	-	E 1	E 1
Moreno (10)	1 - 40:42'3	Jiajun (23)	Pass	-	-	-	-	Reception	-	12.6	12.6	00:00'8	56.6	26.4	9.1	-39.17	-	E 1	F 1
Jiajun (23)	1 - 40:43'1	Jiajun (23)	Reception	-	-	-	-	Running with ball	-	1	1	00:01'6	2.2	35.4	21.5	-22.58	-	F 1	F 1
Jiajun (23)	1 - 40:44'7	Jiajun (23)	Running with ball	-	-	-	-	Cross	-	7.7	7.7	00:01'7	16.4	34.7	21.3	-23.76	-	F 1	F 1
